TAXONOMIC_NAME,COMMON_NAME,Comments,Lmax_RLS
Acanthaluteres spilomelanurus,Bridled Leatherjacket,,
Acanthaluteres vittiger,Toothbrush Leatherjacket,,
Aplodactylus arctidens,Marblefish,Herbivorous ,65
Aracana aurita,Shaws Cowfish,Solitary,20
Atypichthys strigatus,Mado Sweep,"Abundant in NSW, gregarious",25
Caesioperca lepidoptera,Butterfly Perch,"plankton feeders, large schools, hide in crevices at night",30
Caesioperca rasor,Barber Perch,in schools,25
Cephaloscyllium laticeps,Draughtboard Shark,Solitary,150
Cheilodactylus nigripes,Magpie Perch,small inverts,40
Cheilodactylus spectabilis,Banded Morwong,"90 years, very small home range",100
Dactylophora nigricans,Dusky Morwong,Solitary,120
Dinolestes lewini,Long-fin Pike,schools to 20,85
Diodon nicthemerus,Globe Fish,few ,40
Dotalabrus aurantiacus,Castelnaus Wrasse,few ,11
Enoplosus armatus,Old Wife,8per transect,50
Forsterygion varium,Many-rayed Threefin,11per transect,13
Girella zebra,Zebra fish,,34
Latridopsis forsteri,Bastard Trumpeter,large recruitment waves,65
Meuschenia australis,Brown-striped Leatherjacket,in kelp covered areas,30
Meuschenia flavolineata,Yellow-stripe Leatherjacket,,30
Meuschenia freycineti,Six-spine Leatherjacket,,60
Meuschenia hippocrepis,Horseshoe Leatherjacket,,50
Neoodax balteatus,Little Rock Whiting,,14
Notolabrus fucicola,Purple Wrasse,,38
Notolabrus tetricus,Blue-throat Wrasse,,50
Olisthops cyanomelas,Herring Cale,Feeds on brown algae,50
Parma microlepis,White-ear damselfish,Aggressive ,14
Parma victoriae,Victorian Scalyfin damselfish,"Territorial, algal feeder",20
Pempheris multiradiata,Common Bullseye,Nocturnal?,28
Pentaceropsis recurvirostris,Long-snouted Boarfish,eats brittle stars,50
Pictilabrus laticlavius,Senator Wrasse,,23
Pseudolabrus mortonii,Rosy Wrasse,,19
Pseudophycis bachus,Red Cod,decreased in abundance,90
Scobinichthys granulatus,Rough Leatherjacket,,30
Scorpaena papillosa,Southern Rock Cod,,30
Scorpis aequipinnis,Sea Sweep,up to 4kg,40
Scorpis lineolata,Silver Sweep,,30
Siphonognathus beddomei,Pencil Weed Whiting,gregarious,12
Tilodon sexfasciatus,Moonlighter,,40
Trachinops caudimaculatus,Hulafish,schools  ,15
Trachurus declivis,Jack Mackerel,"mature at 27cm and 3-4y, live to 15 y",65
Trinorfolkia clarkei,Common Threefin,,8
Upeneichthys vlamingii,Southern Goatfish,,35
Urolophus cruciatus,Banded Stingaree,,50
Vincentia conspersa,Southern Cardinalfish,"plankton feeder, nocturnal",14
Neosebastes scorpaenoides,Common Gurnard Perch,,40
Lotella rhacina,Beardie,,50
Nemadactylus macropterus,Jackass Morwong,,70
Pseudocaranx georgianus,Silver Trevally,,55
Arripis trutta,Australian Salmon,,90
Pseudophycis barbata,Bearded Cod,,63
Eubalichthys gunnii,Gunns Leatherjacket,,60
