Notolabrus,L_forsteri,T_caudimaculatus,C_rasor,D_lewini,leatherjack,C_spectabilis,C_laticeps,P_laticlavius,Boarfish,M_freycineti,P_bachus,O_cyanomelas,A_arctidens,predator,urchins,lobsters
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.7
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0,0
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0,0
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.7
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.7
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.7
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.7
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.7,0.4,0.4,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.55,0.7
