,species,funcgr,sensitivity,Linf,a,b,w_inf,L_mat,w_mat,k_vb,alpha,beta,sigma,f0,z0pre,p,q,n,avail_PP,avail_BB,avail_AA,w_min,r_max,h,ks,z0,gamma,erepro,alpha_g,scaledAb,scaledBio,BioM2,initScalar
1,Notolabrus,omni,medium,50,0.006,3.2,1600,25,250,0.16,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0,0.0211,0.275215907,53.65225768,3.16227766,0.047434165,5.821327371,0.363825,0.6,0.021686,0.772223,2.040097754,70.6
2,L_forsteri,omni,high,68.2,0.055,2.713,5193,34,792,0.24,0.6,2000,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0,0.0248,0.012601919,64.01514783,2.356000699,0.03534001,7.7,0.081444731,0.6,0.0021,0.247232,0.653149142,58.9
3,T_caudimaculatus,plankt,low,16.5,0.0097,2.964,39,10,7,0.45,0.6,500,1.5,0.6,0.6,0.8,0.75,0.75,0.8,0,0,0.0125,0.601051841,30.73475074,4.5,0.120048048,2.890119565,0.358716892,0.6,0.327669,0.219568,0.580065502,17973
4,C_rasor,plankt,low,27.5,0.0978,2.643,623,17,161,0.4,0.6,1000,1.5,0.6,0.6,0.8,0.75,0.75,0.8,0,0,0.0185,0.212360493,46.57396488,4.003206415,0.060048096,3.947069983,0.336952443,0.6,0.020213,0.283389,0.748670354,727.1
5,D_lewini,predat,medium,55,0.0154,2.773,1032,33,250,0.3,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.15,0.25,0,0.0198,0.5324,50.23679898,3.528662087,0.052929931,20.81722018,0.300520357,0.6,0.009248,0.123913,0.327358934,1090.1
6,leatherjack,omni,medium,44,0.0556,2.877,2974,24,650,0.4,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0.02,0.023,0.021846137,58.88045386,2.708287434,0.040624312,7.027451476,0.130653819,0.6,0.009472,0.293706,0.775928026,128.7
7,C_spectabilis,omni,high,96.25,0.016,2.989,13568,58,3500,0.2,0.6,3000,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0,0.0284,0.002466068,73.93454075,1.853109306,0.02779664,6.007318783,0.097826002,0.6,0.001412,0.381449,1.00773128,9.8
8,C_laticeps,omni,high ,165,0.0017,3.145,16012,83,2100,0.2,0.6,3000,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0,0.0291,0.002816315,75.79435151,1.777946139,0.026669192,6.648864053,0.077566411,0.6,0.000119,0.070828,0.187116164,50.6
9,P_laticlavius,omni,low,33,0.0134,2.939,389,17,51,0.3,0.6,250,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0,0.0173,0.226435736,43.39727344,4.503421484,0.067551322,3.574417362,0.948620654,0.6,0.006759,0.152847,0.40379805,3636.7
10,Boarfish,omni,high,55,0.01355,2.993,2192,28,275,0.35,0.6,1000,1.3,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0,0.022,0.156027085,56.24657559,2.922939715,0.043844096,6.10281364,0.191159305,0.6,0.000131,0.021953,0.05799636,2730.7
11,M_freycineti,omni,medium,50,0.0556,2.877,4300,30,1012,0.18,0.6,1000,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0.7,0.02,0.0242,0.018397303,62.2286347,2.46980623,0.037047093,5.801156385,0.134009564,0.6,0.000285,0.047859,0.126436252,663.6
12,P_bachus,predat,medium,55,0.0088,3.008,1512,33,325,0.42,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.15,0.25,0,0.0209,0.072919518,53.19891477,3.207318194,0.048109773,22.04466735,0.113831219,0.6,0.000503,0.03034,0.080154892,3901.8
13,O_cyanomelas,herbi,medium,68.75,0.0134,2.939,3364,34,700,0.25,0.2,500,3,0.6,0.6,0.8,0.75,0.75,0.2,0,0.7,0.0234,0.026808776,119.957774,2.626128657,0.03939193,7.898101359,0.24297127,0.6,0.000986,0.037438,0.098906426,1490.1
14,A_arctidens,herbi,medium,70,0.0053,3.207,4400,41,803,0.2,0.2,500,3,0.6,0.6,0.8,0.75,0.75,0.2,0,0.7,0.0243,0.041563095,124.8871922,2.45565203,0.03683478,8.222657602,0.142857143,0.6,0.000408,0.083418,0.22037867,137.5
15,predator,predat,high,80,0.0154,2.773,5000,30,800,0.2,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.15,0.25,0,0.0247,0.005142595,63.65250578,2.37841423,0.035676213,30.29352263,0.045814887,0.6,0.001893,0.378522,1,27.5
16,urchins,herbi,low,NA,0.01,3,350,NA,50,0.3,0.2,50,1.5,0.6,0.6,0.8,0.75,0.75,0.2,0,0.7,0.017,0.615308936,85.42996072,4.623948459,0.069359227,11.34739888,0.410848806,0.6,1,1,2.6418509,240.9
17,lobsters,predat,medium,20,0.00278,3.12,3000,9,500,0.3,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.15,0.25,0,0.023,0.066559216,58.95738228,2.70240031,0.040536005,26.87395926,0.068270569,0.6,0.017408,0.522244,1.379691516,48.1
